agency_cd,location_id,datetime,parameter_cd,parameter_value
CDEC,VIN,1993-04-16T07:00:00Z,NA,10010
CDEC,VIN,1993-04-17T07:00:00Z,NA,11457
CDEC,VIN,1993-04-18T07:00:00Z,NA,23341
CDEC,VIN,1993-04-19T07:00:00Z,NA,13784
CDEC,VIN,1993-04-20T07:00:00Z,NA,11786
CDEC,VIN,1993-04-21T07:00:00Z,NA,11001
CDEC,VIN,1993-04-22T07:00:00Z,NA,10561
CDEC,VIN,1993-04-23T07:00:00Z,NA,10200
CDEC,VIN,1993-04-24T07:00:00Z,NA,11125
CDEC,VIN,1993-04-25T07:00:00Z,NA,10540
CDEC,VIN,1993-04-26T07:00:00Z,NA,10368
CDEC,VIN,1993-04-27T07:00:00Z,NA,12065
CDEC,VIN,1993-04-28T07:00:00Z,NA,13376
CDEC,VIN,1993-04-29T07:00:00Z,NA,11793
CDEC,VIN,1993-04-30T07:00:00Z,NA,11839
CDEC,VIN,1993-05-01T07:00:00Z,NA,11301
CDEC,VIN,1993-05-02T07:00:00Z,NA,9631
CDEC,VIN,1993-05-03T07:00:00Z,NA,10301
CDEC,VIN,1993-05-04T07:00:00Z,NA,11331
CDEC,VIN,1993-05-05T07:00:00Z,NA,10298
CDEC,VIN,1993-05-06T07:00:00Z,NA,10222
CDEC,VIN,1993-05-07T07:00:00Z,NA,10752
CDEC,VIN,1993-05-08T07:00:00Z,NA,10779
CDEC,VIN,1993-05-09T07:00:00Z,NA,10971
CDEC,VIN,1993-05-10T07:00:00Z,NA,NA
CDEC,VIN,1993-05-11T07:00:00Z,NA,11765
CDEC,VIN,1993-05-12T07:00:00Z,NA,NA
CDEC,VIN,1993-05-13T07:00:00Z,NA,10712
CDEC,VIN,1993-05-14T07:00:00Z,NA,9681
CDEC,VIN,1993-05-15T07:00:00Z,NA,9425
CDEC,VIN,1993-05-16T07:00:00Z,NA,10220
CDEC,VIN,1993-05-17T07:00:00Z,NA,10510
CDEC,VIN,1993-05-18T07:00:00Z,NA,10433
CDEC,VIN,1993-05-19T07:00:00Z,NA,10421
CDEC,VIN,1993-05-20T07:00:00Z,NA,10329
CDEC,VIN,1993-05-21T07:00:00Z,NA,10581
CDEC,VIN,1993-05-22T07:00:00Z,NA,10810
CDEC,VIN,1993-05-23T07:00:00Z,NA,10893
CDEC,VIN,1993-05-24T07:00:00Z,NA,10848
CDEC,VIN,1993-05-25T07:00:00Z,NA,10956
CDEC,VIN,1993-05-26T07:00:00Z,NA,11072
CDEC,VIN,1993-05-27T07:00:00Z,NA,12123
CDEC,VIN,1993-05-28T07:00:00Z,NA,12524
CDEC,VIN,1993-05-29T07:00:00Z,NA,11639
CDEC,VIN,1993-05-30T07:00:00Z,NA,11135
CDEC,VIN,1993-05-31T07:00:00Z,NA,16116
CDEC,VIN,1993-06-01T07:00:00Z,NA,28406
CDEC,VIN,1993-06-02T07:00:00Z,NA,19439
CDEC,VIN,1993-06-03T07:00:00Z,NA,18385
CDEC,VIN,1993-06-04T07:00:00Z,NA,19339
CDEC,VIN,1993-06-05T07:00:00Z,NA,26159
CDEC,VIN,1993-06-06T07:00:00Z,NA,23912
CDEC,VIN,1993-06-07T07:00:00Z,NA,23008
CDEC,VIN,1993-06-08T07:00:00Z,NA,20397
CDEC,VIN,1993-06-09T07:00:00Z,NA,17703
CDEC,VIN,1993-06-10T07:00:00Z,NA,16598
CDEC,VIN,1993-06-11T07:00:00Z,NA,15044
CDEC,VIN,1993-06-12T07:00:00Z,NA,14018
CDEC,VIN,1993-06-13T07:00:00Z,NA,14453
CDEC,VIN,1993-06-14T07:00:00Z,NA,13986
CDEC,VIN,1993-06-15T07:00:00Z,NA,13295
CDEC,VIN,1993-06-16T07:00:00Z,NA,13311
CDEC,VIN,1993-06-17T07:00:00Z,NA,14625
CDEC,VIN,1993-06-18T07:00:00Z,NA,15003
CDEC,VIN,1993-06-19T07:00:00Z,NA,14077
CDEC,VIN,1993-06-20T07:00:00Z,NA,13779
CDEC,VIN,1993-06-21T07:00:00Z,NA,12859
CDEC,VIN,1993-06-22T07:00:00Z,NA,11642
CDEC,VIN,1993-06-23T07:00:00Z,NA,11364
CDEC,VIN,1993-06-24T07:00:00Z,NA,11357
CDEC,VIN,1993-06-25T07:00:00Z,NA,11759
CDEC,VIN,1993-06-26T07:00:00Z,NA,11513
CDEC,VIN,1993-06-27T07:00:00Z,NA,10251
CDEC,VIN,1993-06-28T07:00:00Z,NA,10081
CDEC,VIN,1993-06-29T07:00:00Z,NA,10435
CDEC,VIN,1993-06-30T07:00:00Z,NA,10356
CDEC,VIN,1993-07-01T07:00:00Z,NA,10544
CDEC,VIN,1993-07-02T07:00:00Z,NA,10880
CDEC,VIN,1993-07-03T07:00:00Z,NA,10133
CDEC,VIN,1993-07-04T07:00:00Z,NA,10746
CDEC,VIN,1993-07-05T07:00:00Z,NA,10960
CDEC,VIN,1993-07-06T07:00:00Z,NA,11395
CDEC,VIN,1993-07-07T07:00:00Z,NA,11368
CDEC,VIN,1993-07-08T07:00:00Z,NA,10932
CDEC,VIN,1993-07-09T07:00:00Z,NA,10464
CDEC,VIN,1993-07-10T07:00:00Z,NA,10460
CDEC,VIN,1993-07-11T07:00:00Z,NA,10383
CDEC,VIN,1993-07-12T07:00:00Z,NA,10345
CDEC,VIN,1993-07-13T07:00:00Z,NA,10355
CDEC,VIN,1993-07-14T07:00:00Z,NA,10254
CDEC,VIN,1993-07-15T07:00:00Z,NA,9562
CDEC,VIN,1993-07-16T07:00:00Z,NA,9544
CDEC,VIN,1993-07-17T07:00:00Z,NA,9582
CDEC,VIN,1993-07-18T07:00:00Z,NA,9941
CDEC,VIN,1993-07-19T07:00:00Z,NA,10291
CDEC,VIN,1993-07-20T07:00:00Z,NA,10110
CDEC,VIN,1993-07-21T07:00:00Z,NA,9926
CDEC,VIN,1993-07-22T07:00:00Z,NA,9862
CDEC,VIN,1993-07-23T07:00:00Z,NA,9948
CDEC,VIN,1993-07-24T07:00:00Z,NA,9832
CDEC,VIN,1993-07-25T07:00:00Z,NA,10111
CDEC,VIN,1993-07-26T07:00:00Z,NA,10078
CDEC,VIN,1993-07-27T07:00:00Z,NA,10067
CDEC,VIN,1993-07-28T07:00:00Z,NA,10012
CDEC,VIN,1993-07-29T07:00:00Z,NA,9654
CDEC,VIN,1993-07-30T07:00:00Z,NA,9665
CDEC,VIN,1993-07-31T07:00:00Z,NA,10948
CDEC,VIN,1993-08-01T07:00:00Z,NA,12487
CDEC,VIN,1993-08-02T07:00:00Z,NA,12607
CDEC,VIN,1993-08-03T07:00:00Z,NA,12538
CDEC,VIN,1993-08-04T07:00:00Z,NA,12320
CDEC,VIN,1993-08-05T07:00:00Z,NA,11427
CDEC,VIN,1993-08-06T07:00:00Z,NA,10348
CDEC,VIN,1993-08-07T07:00:00Z,NA,10337
CDEC,VIN,1993-08-08T07:00:00Z,NA,10340
CDEC,VIN,1993-08-09T07:00:00Z,NA,9950
CDEC,VIN,1993-08-10T07:00:00Z,NA,9962
CDEC,VIN,1993-08-11T07:00:00Z,NA,9956
CDEC,VIN,1993-08-12T07:00:00Z,NA,10578
CDEC,VIN,1993-08-13T07:00:00Z,NA,9939
CDEC,VIN,1993-08-14T07:00:00Z,NA,10214
CDEC,VIN,1993-08-15T07:00:00Z,NA,10646
CDEC,VIN,1993-08-16T07:00:00Z,NA,10616
CDEC,VIN,1993-08-17T07:00:00Z,NA,10364
CDEC,VIN,1993-08-18T07:00:00Z,NA,10980
CDEC,VIN,1993-08-19T07:00:00Z,NA,11333
CDEC,VIN,1993-08-20T07:00:00Z,NA,10838
CDEC,VIN,1993-08-21T07:00:00Z,NA,10705
CDEC,VIN,1993-08-22T07:00:00Z,NA,10481
CDEC,VIN,1993-08-23T07:00:00Z,NA,10941
CDEC,VIN,1993-08-24T07:00:00Z,NA,11716
CDEC,VIN,1993-08-25T07:00:00Z,NA,11341
CDEC,VIN,1993-08-26T07:00:00Z,NA,10677
CDEC,VIN,1993-08-27T07:00:00Z,NA,10393
CDEC,VIN,1993-08-28T07:00:00Z,NA,9250
CDEC,VIN,1993-08-29T07:00:00Z,NA,9700
CDEC,VIN,1993-08-30T07:00:00Z,NA,9848
CDEC,VIN,1993-08-31T07:00:00Z,NA,9564
CDEC,VIN,1993-09-01T07:00:00Z,NA,9631
CDEC,VIN,1993-09-02T07:00:00Z,NA,9683
CDEC,VIN,1993-09-03T07:00:00Z,NA,9832
CDEC,VIN,1993-09-04T07:00:00Z,NA,NA
CDEC,VIN,1993-09-05T07:00:00Z,NA,NA
CDEC,VIN,1993-09-06T07:00:00Z,NA,NA
CDEC,VIN,1993-09-07T07:00:00Z,NA,9729
CDEC,VIN,1993-09-08T07:00:00Z,NA,9811
CDEC,VIN,1993-09-09T07:00:00Z,NA,9817
CDEC,VIN,1993-09-10T07:00:00Z,NA,9913
CDEC,VIN,1993-09-11T07:00:00Z,NA,9918
CDEC,VIN,1993-09-12T07:00:00Z,NA,9872
CDEC,VIN,1993-09-13T07:00:00Z,NA,9855
CDEC,VIN,1993-09-14T07:00:00Z,NA,9893
CDEC,VIN,1993-09-15T07:00:00Z,NA,9302
CDEC,VIN,1993-09-16T07:00:00Z,NA,8926
CDEC,VIN,1993-09-17T07:00:00Z,NA,8887
CDEC,VIN,1993-09-18T07:00:00Z,NA,8918
CDEC,VIN,1993-09-19T07:00:00Z,NA,8961
CDEC,VIN,1993-09-20T07:00:00Z,NA,8973
CDEC,VIN,1993-09-21T07:00:00Z,NA,9337
CDEC,VIN,1993-09-22T07:00:00Z,NA,9251
CDEC,VIN,1993-09-23T07:00:00Z,NA,9040
CDEC,VIN,1993-09-24T07:00:00Z,NA,8925
CDEC,VIN,1993-09-25T07:00:00Z,NA,9055
CDEC,VIN,1993-09-26T07:00:00Z,NA,9116
CDEC,VIN,1993-09-27T07:00:00Z,NA,9129
CDEC,VIN,1993-09-28T07:00:00Z,NA,9160
CDEC,VIN,1993-09-29T07:00:00Z,NA,9068
CDEC,VIN,1993-09-30T07:00:00Z,NA,9154
CDEC,VIN,1993-10-01T07:00:00Z,NA,9100
CDEC,VIN,1993-10-02T07:00:00Z,NA,9109
CDEC,VIN,1993-10-03T07:00:00Z,NA,9127
CDEC,VIN,1993-10-04T07:00:00Z,NA,8892
CDEC,VIN,1993-10-05T07:00:00Z,NA,8916
CDEC,VIN,1993-10-06T07:00:00Z,NA,8580
CDEC,VIN,1993-10-07T07:00:00Z,NA,8187
CDEC,VIN,1993-10-08T07:00:00Z,NA,7709
CDEC,VIN,1993-10-09T07:00:00Z,NA,7277
CDEC,VIN,1993-10-10T07:00:00Z,NA,7399
CDEC,VIN,1993-10-11T07:00:00Z,NA,7434
CDEC,VIN,1993-10-12T07:00:00Z,NA,7183
CDEC,VIN,1993-10-13T07:00:00Z,NA,6924
CDEC,VIN,1993-10-14T07:00:00Z,NA,8603
CDEC,VIN,1993-10-15T07:00:00Z,NA,7512
CDEC,VIN,1993-10-16T07:00:00Z,NA,NA
CDEC,VIN,1993-10-17T07:00:00Z,NA,8041
CDEC,VIN,1993-10-18T07:00:00Z,NA,6987
CDEC,VIN,1993-10-19T07:00:00Z,NA,6767
CDEC,VIN,1993-10-20T07:00:00Z,NA,6615
CDEC,VIN,1993-10-21T07:00:00Z,NA,6333
CDEC,VIN,1993-10-22T07:00:00Z,NA,6186
CDEC,VIN,1993-10-23T07:00:00Z,NA,6183
CDEC,VIN,1993-10-24T07:00:00Z,NA,6114
CDEC,VIN,1993-10-25T07:00:00Z,NA,6192
CDEC,VIN,1993-10-26T07:00:00Z,NA,6188
CDEC,VIN,1993-10-27T07:00:00Z,NA,5954
CDEC,VIN,1993-10-28T07:00:00Z,NA,5895
CDEC,VIN,1993-10-29T07:00:00Z,NA,6008
CDEC,VIN,1993-10-30T07:00:00Z,NA,6162
CDEC,VIN,1993-10-31T07:00:00Z,NA,6104
CDEC,VIN,1993-11-01T08:00:00Z,NA,6066
CDEC,VIN,1993-11-02T08:00:00Z,NA,6217
CDEC,VIN,1993-11-03T08:00:00Z,NA,6218
CDEC,VIN,1993-11-04T08:00:00Z,NA,6206
CDEC,VIN,1993-11-05T08:00:00Z,NA,6130
CDEC,VIN,1993-11-06T08:00:00Z,NA,6091
CDEC,VIN,1993-11-07T08:00:00Z,NA,6014
CDEC,VIN,1993-11-08T08:00:00Z,NA,6077
CDEC,VIN,1993-11-09T08:00:00Z,NA,6069
CDEC,VIN,1993-11-10T08:00:00Z,NA,6094
CDEC,VIN,1993-11-11T08:00:00Z,NA,6092
CDEC,VIN,1993-11-12T08:00:00Z,NA,6134
CDEC,VIN,1993-11-13T08:00:00Z,NA,6154
CDEC,VIN,1993-11-14T08:00:00Z,NA,6129
CDEC,VIN,1993-11-15T08:00:00Z,NA,6140
CDEC,VIN,1993-11-16T08:00:00Z,NA,6111
CDEC,VIN,1993-11-17T08:00:00Z,NA,6053
CDEC,VIN,1993-11-18T08:00:00Z,NA,5925
CDEC,VIN,1993-11-19T08:00:00Z,NA,5901
CDEC,VIN,1993-11-20T08:00:00Z,NA,6019
CDEC,VIN,1993-11-21T08:00:00Z,NA,5949
CDEC,VIN,1993-11-22T08:00:00Z,NA,5915
CDEC,VIN,1993-11-23T08:00:00Z,NA,6072
CDEC,VIN,1993-11-24T08:00:00Z,NA,6136
CDEC,VIN,1993-11-25T08:00:00Z,NA,6146
CDEC,VIN,1993-11-26T08:00:00Z,NA,6137
CDEC,VIN,1993-11-27T08:00:00Z,NA,6112
CDEC,VIN,1993-11-28T08:00:00Z,NA,6235
CDEC,VIN,1993-11-29T08:00:00Z,NA,6777
CDEC,VIN,1993-11-30T08:00:00Z,NA,7788
CDEC,VIN,1993-12-01T08:00:00Z,NA,6757
CDEC,VIN,1993-12-02T08:00:00Z,NA,6354
CDEC,VIN,1993-12-03T08:00:00Z,NA,6292
CDEC,VIN,1993-12-04T08:00:00Z,NA,6142
CDEC,VIN,1993-12-05T08:00:00Z,NA,6148
CDEC,VIN,1993-12-06T08:00:00Z,NA,6128
CDEC,VIN,1993-12-07T08:00:00Z,NA,6199
CDEC,VIN,1993-12-08T08:00:00Z,NA,6961
CDEC,VIN,1993-12-09T08:00:00Z,NA,10006
CDEC,VIN,1993-12-10T08:00:00Z,NA,8118
CDEC,VIN,1993-12-11T08:00:00Z,NA,8696
CDEC,VIN,1993-12-12T08:00:00Z,NA,14178
CDEC,VIN,1993-12-13T08:00:00Z,NA,8323
CDEC,VIN,1993-12-14T08:00:00Z,NA,15401
CDEC,VIN,1993-12-15T08:00:00Z,NA,13268
CDEC,VIN,1993-12-16T08:00:00Z,NA,8427
CDEC,VIN,1993-12-17T08:00:00Z,NA,7493
CDEC,VIN,1993-12-18T08:00:00Z,NA,7067
CDEC,VIN,1993-12-19T08:00:00Z,NA,6815
CDEC,VIN,1993-12-20T08:00:00Z,NA,6648
CDEC,VIN,1993-12-21T08:00:00Z,NA,6578
CDEC,VIN,1993-12-22T08:00:00Z,NA,6519
CDEC,VIN,1993-12-23T08:00:00Z,NA,6407
CDEC,VIN,1993-12-24T08:00:00Z,NA,6382
CDEC,VIN,1993-12-25T08:00:00Z,NA,6370
CDEC,VIN,1993-12-26T08:00:00Z,NA,6343
CDEC,VIN,1993-12-27T08:00:00Z,NA,6284
CDEC,VIN,1993-12-28T08:00:00Z,NA,6319
CDEC,VIN,1993-12-29T08:00:00Z,NA,6334
CDEC,VIN,1993-12-30T08:00:00Z,NA,6301
CDEC,VIN,1993-12-31T08:00:00Z,NA,6236
CDEC,VIN,1994-01-01T08:00:00Z,NA,6317
CDEC,VIN,1994-01-02T08:00:00Z,NA,6259
CDEC,VIN,1994-01-03T08:00:00Z,NA,6379
CDEC,VIN,1994-01-04T08:00:00Z,NA,6337
CDEC,VIN,1994-01-05T08:00:00Z,NA,6414
CDEC,VIN,1994-01-06T08:00:00Z,NA,6296
CDEC,VIN,1994-01-07T08:00:00Z,NA,6098
CDEC,VIN,1994-01-08T08:00:00Z,NA,5920
CDEC,VIN,1994-01-09T08:00:00Z,NA,5755
CDEC,VIN,1994-01-10T08:00:00Z,NA,5644
CDEC,VIN,1994-01-11T08:00:00Z,NA,5487
CDEC,VIN,1994-01-12T08:00:00Z,NA,5399
CDEC,VIN,1994-01-13T08:00:00Z,NA,5355
CDEC,VIN,1994-01-14T08:00:00Z,NA,5378
CDEC,VIN,1994-01-15T08:00:00Z,NA,5328
CDEC,VIN,1994-01-16T08:00:00Z,NA,5296
CDEC,VIN,1994-01-17T08:00:00Z,NA,5301
CDEC,VIN,1994-01-18T08:00:00Z,NA,5328
CDEC,VIN,1994-01-19T08:00:00Z,NA,5314
CDEC,VIN,1994-01-20T08:00:00Z,NA,5273
CDEC,VIN,1994-01-21T08:00:00Z,NA,5247
CDEC,VIN,1994-01-22T08:00:00Z,NA,5213
CDEC,VIN,1994-01-23T08:00:00Z,NA,6516
CDEC,VIN,1994-01-24T08:00:00Z,NA,13426
CDEC,VIN,1994-01-25T08:00:00Z,NA,11761
CDEC,VIN,1994-01-26T08:00:00Z,NA,10149
CDEC,VIN,1994-01-27T08:00:00Z,NA,7820
CDEC,VIN,1994-01-28T08:00:00Z,NA,6554
CDEC,VIN,1994-01-29T08:00:00Z,NA,6065
CDEC,VIN,1994-01-30T08:00:00Z,NA,5725
CDEC,VIN,1994-01-31T08:00:00Z,NA,5469
CDEC,VIN,1994-02-01T08:00:00Z,NA,5406
CDEC,VIN,1994-02-02T08:00:00Z,NA,5342
CDEC,VIN,1994-02-03T08:00:00Z,NA,5271
CDEC,VIN,1994-02-04T08:00:00Z,NA,5230
CDEC,VIN,1994-02-05T08:00:00Z,NA,5103
CDEC,VIN,1994-02-06T08:00:00Z,NA,5961
CDEC,VIN,1994-02-07T08:00:00Z,NA,21461
CDEC,VIN,1994-02-08T08:00:00Z,NA,16327
CDEC,VIN,1994-02-09T08:00:00Z,NA,9773
CDEC,VIN,1994-02-10T08:00:00Z,NA,NA
CDEC,VIN,1994-02-11T08:00:00Z,NA,NA
CDEC,VIN,1994-02-12T08:00:00Z,NA,NA
CDEC,VIN,1994-02-13T08:00:00Z,NA,NA
CDEC,VIN,1994-02-14T08:00:00Z,NA,6468
CDEC,VIN,1994-02-15T08:00:00Z,NA,6216
CDEC,VIN,1994-02-16T08:00:00Z,NA,5960
CDEC,VIN,1994-02-17T08:00:00Z,NA,11038
CDEC,VIN,1994-02-18T08:00:00Z,NA,14559
CDEC,VIN,1994-02-19T08:00:00Z,NA,11046
CDEC,VIN,1994-02-20T08:00:00Z,NA,20599
CDEC,VIN,1994-02-21T08:00:00Z,NA,14325
CDEC,VIN,1994-02-22T08:00:00Z,NA,12008
CDEC,VIN,1994-02-23T08:00:00Z,NA,9267
CDEC,VIN,1994-02-24T08:00:00Z,NA,7983
CDEC,VIN,1994-02-25T08:00:00Z,NA,7363
CDEC,VIN,1994-02-26T08:00:00Z,NA,7156
CDEC,VIN,1994-02-27T08:00:00Z,NA,9996
CDEC,VIN,1994-02-28T08:00:00Z,NA,9338
CDEC,VIN,1994-03-01T08:00:00Z,NA,8209
CDEC,VIN,1994-03-02T08:00:00Z,NA,7647
CDEC,VIN,1994-03-03T08:00:00Z,NA,7451
CDEC,VIN,1994-03-04T08:00:00Z,NA,7289
CDEC,VIN,1994-03-05T08:00:00Z,NA,7599
CDEC,VIN,1994-03-06T08:00:00Z,NA,8423
CDEC,VIN,1994-03-07T08:00:00Z,NA,7611
CDEC,VIN,1994-03-08T08:00:00Z,NA,7056
CDEC,VIN,1994-03-09T08:00:00Z,NA,6717
CDEC,VIN,1994-03-10T08:00:00Z,NA,6618
CDEC,VIN,1994-03-11T08:00:00Z,NA,7156
CDEC,VIN,1994-03-12T08:00:00Z,NA,6844
CDEC,VIN,1994-03-13T08:00:00Z,NA,6460
CDEC,VIN,1994-03-14T08:00:00Z,NA,6325
CDEC,VIN,1994-03-15T08:00:00Z,NA,6270
CDEC,VIN,1994-03-16T08:00:00Z,NA,6185
CDEC,VIN,1994-03-17T08:00:00Z,NA,7417
CDEC,VIN,1994-03-18T08:00:00Z,NA,6724
CDEC,VIN,1994-03-19T08:00:00Z,NA,6108
CDEC,VIN,1994-03-20T08:00:00Z,NA,5938
CDEC,VIN,1994-03-21T08:00:00Z,NA,5757
CDEC,VIN,1994-03-22T08:00:00Z,NA,5650
CDEC,VIN,1994-03-23T08:00:00Z,NA,5659
CDEC,VIN,1994-03-24T08:00:00Z,NA,5560
CDEC,VIN,1994-03-25T08:00:00Z,NA,5496
